{'time': 1622619516.123406, 'processing_delay': 4.474281549453735, 'bandwidth': 3377.5662589964268}
{'time': 1622619520.9161584, 'processing_delay': 4.609630823135376, 'bandwidth': 3470.243182273588}
{'time': 1622619525.8548892, 'processing_delay': 4.503859519958496, 'bandwidth': 3137.6968443076853}
{'time': 1622619530.679767, 'processing_delay': 4.500286340713501, 'bandwidth': 3412.7453270062647}
{'time': 1622619535.4954727, 'processing_delay': 4.486667633056641, 'bandwidth': 3549.782710318995}
{'time': 1622619540.3092782, 'processing_delay': 4.445854902267456, 'bandwidth': 3610.0413674386077}
{'time': 1622619545.0769022, 'processing_delay': 4.422846794128418, 'bandwidth': 3508.3640165723473}
{'time': 1622619549.8155792, 'processing_delay': 4.549594879150391, 'bandwidth': 3387.732525634958}
{'time': 1622619554.7501247, 'processing_delay': 4.66827130317688, 'bandwidth': 3290.981107555752}
{'time': 1622619559.7310243, 'processing_delay': 4.705113649368286, 'bandwidth': 3285.291950323254}
{'time': 1622619564.7720385, 'processing_delay': 4.5560712814331055, 'bandwidth': 3467.3631822159646}
{'time': 1622619569.641639, 'processing_delay': 4.473264932632446, 'bandwidth': 3216.7509713987843}
{'time': 1622619574.4380834, 'processing_delay': 4.458380222320557, 'bandwidth': 3425.4399239458817}
{'time': 1622619579.214205, 'processing_delay': 4.51716685295105, 'bandwidth': 3381.7894534608686}
{'time': 1622619584.0398786, 'processing_delay': 4.457936763763428, 'bandwidth': 3370.1454595673626}
{'time': 1622619588.8163016, 'processing_delay': 4.417082071304321, 'bandwidth': 3632.6237435847124}
{'time': 1622619593.5605652, 'processing_delay': 4.51869797706604, 'bandwidth': 3368.8026078417224}
{'time': 1622619598.3813, 'processing_delay': 4.499579429626465, 'bandwidth': 3560.0575051059654}
{'time': 1622619603.1880267, 'processing_delay': 4.3975441455841064, 'bandwidth': 3555.5189160013642}
{'time': 1622619607.8892004, 'processing_delay': 4.369634389877319, 'bandwidth': 3506.496494293225}
{'time': 1622619612.571638, 'processing_delay': 4.382840156555176, 'bandwidth': 3568.0072307733208}
{'time': 1622619617.2778137, 'processing_delay': 4.435156583786011, 'bandwidth': 3599.8626224968402}
{'time': 1622619622.0233843, 'processing_delay': 4.406593561172485, 'bandwidth': 3377.8743971686986}
{'time': 1622619626.740255, 'processing_delay': 4.400084495544434, 'bandwidth': 3635.1325720515}
{'time': 1622619631.4474049, 'processing_delay': 4.442643642425537, 'bandwidth': 3363.642077564062}
{'time': 1622619636.1992085, 'processing_delay': 4.383148193359375, 'bandwidth': 3346.3661817320517}
{'time': 1622619640.9001486, 'processing_delay': 4.516399621963501, 'bandwidth': 3515.957654285817}
{'time': 1622619645.7304459, 'processing_delay': 4.419978857040405, 'bandwidth': 3629.284020888611}
{'time': 1622619650.4594564, 'processing_delay': 4.372659921646118, 'bandwidth': 3653.3511530897636}
{'time': 1622619655.1353085, 'processing_delay': 4.421531677246094, 'bandwidth': 3601.867195335903}
{'time': 1622619659.8630462, 'processing_delay': 4.405579566955566, 'bandwidth': 3635.53873761622}
{'time': 1622619664.583765, 'processing_delay': 4.403017520904541, 'bandwidth': 3557.7101392611835}
{'time': 1622619669.2913647, 'processing_delay': 4.377782583236694, 'bandwidth': 3349.3724624118786}
{'time': 1622619673.980383, 'processing_delay': 4.37350606918335, 'bandwidth': 3554.5772842988285}
{'time': 1622619678.6631162, 'processing_delay': 4.418543577194214, 'bandwidth': 3603.8981939256023}
{'time': 1622619683.3860667, 'processing_delay': 4.388447284698486, 'bandwidth': 3415.0681555788087}
{'time': 1622619688.0835917, 'processing_delay': 4.384543180465698, 'bandwidth': 3604.0312558739024}
{'time': 1622619692.7791932, 'processing_delay': 4.421912431716919, 'bandwidth': 3606.5249595260007}
{'time': 1622619697.5038533, 'processing_delay': 4.4307920932769775, 'bandwidth': 3321.7893219321745}
{'time': 1622619702.2467566, 'processing_delay': 4.348576068878174, 'bandwidth': 3603.4506940156252}
{'time': 1622619706.9106145, 'processing_delay': 4.424951791763306, 'bandwidth': 3369.0034388413364}
{'time': 1622619711.6413527, 'processing_delay': 4.418391942977905, 'bandwidth': 3516.2224725577007}
{'time': 1622619716.3820076, 'processing_delay': 4.328622102737427, 'bandwidth': 3607.664010106576}
{'time': 1622619721.0217032, 'processing_delay': 4.397620439529419, 'bandwidth': 3479.9492596037608}
{'time': 1622619725.7365978, 'processing_delay': 4.451445817947388, 'bandwidth': 3366.8378418209127}
{'time': 1622619730.5035622, 'processing_delay': 4.398730754852295, 'bandwidth': 3632.6360333173197}
{'time': 1622619735.2214613, 'processing_delay': 4.412276029586792, 'bandwidth': 3422.5465023619336}
{'time': 1622619739.9509614, 'processing_delay': 4.3963823318481445, 'bandwidth': 3456.10217587228}
{'time': 1622619744.6772625, 'processing_delay': 4.38190770149231, 'bandwidth': 3654.8060819159327}
{'time': 1622619749.381321, 'processing_delay': 4.438579559326172, 'bandwidth': 3559.0426856351137}
{'time': 1622619754.1373563, 'processing_delay': 4.3963844776153564, 'bandwidth': 3528.1343510647735}
{'time': 1622619758.853287, 'processing_delay': 4.3819873332977295, 'bandwidth': 2610.9223683890577}
{'time': 1622619763.5664604, 'processing_delay': 4.376176118850708, 'bandwidth': 3054.933236219621}
{'time': 1622619768.2559106, 'processing_delay': 4.488518714904785, 'bandwidth': 3565.294187571597}
{'time': 1622619773.0587318, 'processing_delay': 4.432145357131958, 'bandwidth': 3368.3376174417695}
{'time': 1622619777.806856, 'processing_delay': 4.431172609329224, 'bandwidth': 3091.5681935314833}
{'time': 1622619782.5599985, 'processing_delay': 4.446804523468018, 'bandwidth': 3289.831620616333}
{'time': 1622619787.3348756, 'processing_delay': 4.4373016357421875, 'bandwidth': 3459.6433326244837}
{'time': 1622619792.0945668, 'processing_delay': 4.425512075424194, 'bandwidth': 3501.602267131485}
{'time': 1622619796.8391907, 'processing_delay': 4.438494920730591, 'bandwidth': 3646.725390571933}
{'time': 1622619801.5931497, 'processing_delay': 4.56566309928894, 'bandwidth': 3507.790945501826}
{'time': 1622619806.4679694, 'processing_delay': 4.450004816055298, 'bandwidth': 3373.120459407583}
{'time': 1622619811.2331445, 'processing_delay': 4.402114629745483, 'bandwidth': 3423.9980611812125}
{'time': 1622619815.9644177, 'processing_delay': 4.407776594161987, 'bandwidth': 3373.2370253085023}
{'time': 1622619820.685495, 'processing_delay': 4.4167540073394775, 'bandwidth': 2764.7963085986785}
{'time': 1622619825.4169095, 'processing_delay': 4.430124044418335, 'bandwidth': 3355.1705923893683}
{'time': 1622619830.1623247, 'processing_delay': 4.435205698013306, 'bandwidth': 3615.6575546351482}
{'time': 1622619834.9135435, 'processing_delay': 4.473584175109863, 'bandwidth': 3467.7439194928256}
{'time': 1622619839.7072866, 'processing_delay': 4.432453155517578, 'bandwidth': 3510.933675137659}
{'time': 1622619844.4528825, 'processing_delay': 4.403750658035278, 'bandwidth': 3031.8928586555376}
{'time': 1622619849.1838336, 'processing_delay': 4.433627367019653, 'bandwidth': 3656.909692800218}
{'time': 1622619853.935895, 'processing_delay': 4.42328405380249, 'bandwidth': 3513.530094698333}
{'time': 1622619858.6734817, 'processing_delay': 4.395504951477051, 'bandwidth': 3708.1842243403785}
{'time': 1622619863.3921, 'processing_delay': 4.481485843658447, 'bandwidth': 3661.623587344241}
{'time': 1622619868.192961, 'processing_delay': 4.472424745559692, 'bandwidth': 3332.542385296044}
{'time': 1622619872.9904869, 'processing_delay': 4.448547840118408, 'bandwidth': 3486.752105056357}
{'time': 1622619877.7854455, 'processing_delay': 4.427511692047119, 'bandwidth': 3248.7619785300203}
{'time': 1622619882.527974, 'processing_delay': 4.4397008419036865, 'bandwidth': 3626.9057622217942}
{'time': 1622619887.2871432, 'processing_delay': 4.4513099193573, 'bandwidth': 3337.4522464837983}
{'time': 1622619892.0437682, 'processing_delay': 4.468212366104126, 'bandwidth': 3558.8421502696287}
{'time': 1622619896.8304348, 'processing_delay': 4.4546403884887695, 'bandwidth': 3555.401184756443}
{'time': 1622619901.6101575, 'processing_delay': 4.392587184906006, 'bandwidth': 3125.303652303501}
{'time': 1622619906.3175657, 'processing_delay': 4.443108558654785, 'bandwidth': 3367.6614968683252}
{'time': 1622619911.0725267, 'processing_delay': 4.456695079803467, 'bandwidth': 3329.8553428497885}
{'time': 1622619915.8554845, 'processing_delay': 4.398551940917969, 'bandwidth': 3551.3794638575137}
{'time': 1622619920.5731654, 'processing_delay': 4.416150093078613, 'bandwidth': 3370.3252926202263}
{'time': 1622619925.30553, 'processing_delay': 4.453740835189819, 'bandwidth': 3082.143735916756}
{'time': 1622619930.0727885, 'processing_delay': 4.438448190689087, 'bandwidth': 3286.5891571575494}
