('total_service_delay', 'net_speed', 'cpu_usage', 'memory_usage')
(0.5769517421722412, 64073.3872777181, 29.4, 49.7)
(0.5533924102783203, 64149.947663998086, 29.1, 49.7)
(0.5612390041351318, 128284.56678614097, 27.6, 49.7)
(0.5755950212478638, 65130.524323668564, 29.0, 49.7)
(0.5834923982620239, 64172.95147023667, 29.5, 49.8)
(0.5549658536911011, 128284.56678614097, 27.2, 49.7)
(0.5586063861846924, 128315.2275334608, 29.1, 49.7)
(0.5765557289123535, 128253.92068800764, 28.6, 49.7)
(0.567112922668457, 64165.28170192423, 28.7, 49.7)
(0.5713053941726685, 128253.92068800764, 28.7, 49.7)
(0.5597845315933228, 124333.23575729504, 27.2, 49.7)
(0.5830224752426147, 128345.90294047334, 29.9, 49.7)
(0.5650779008865356, 64242.06198396554, 27.7, 49.7)
(0.5683056116104126, 64134.62095329112, 29.0, 49.7)
(0.5620698928833008, 128315.2275334608, 28.3, 49.7)
(0.5730258226394653, 128039.80729787741, 27.6, 49.7)
(0.5819450616836548, 64149.947663998086, 29.1, 49.7)
(0.5704096555709839, 64165.28170192423, 29.0, 49.7)
(0.5652989149093628, 128345.90294047334, 29.1, 49.7)
(0.5696374177932739, 128345.90294047334, 29.3, 49.7)
(0.5760232210159302, 128376.59301769489, 29.1, 49.7)
(0.5672674179077148, 128376.59301769489, 29.3, 49.7)
(0.5871039628982544, 64203.64888782588, 28.9, 49.7)
(0.5777593851089478, 128345.90294047334, 29.1, 49.7)
(0.5745043754577637, 128315.2275334608, 27.5, 49.7)
(0.5654882192611694, 128223.28922856461, 28.5, 49.7)
(0.5657966136932373, 128376.59301769489, 28.9, 49.7)
(0.5765209197998047, 64180.623072325165, 27.6, 49.7)
(0.5845643281936646, 64165.28170192423, 29.1, 49.6)
(0.5777275562286377, 64188.296508847445, 29.0, 49.6)
(0.5598020553588867, 128315.2275334608, 29.1, 49.6)
(0.5640100240707397, 128345.90294047334, 28.4, 49.6)
(0.5722301006317139, 64157.6137667304, 28.2, 49.6)
(0.5794422626495361, 128407.29777565176, 27.8, 49.6)
(0.5979963541030884, 64195.97178046156, 27.6, 49.6)
(0.5746511220932007, 128407.29777565176, 28.8, 49.6)
(0.5709728002548218, 128561.04214559386, 28.8, 49.6)
(0.5774555206298828, 64188.296508847445, 28.8, 49.6)
(0.5590051412582397, 128345.90294047334, 28.2, 49.6)
(0.5829416513442993, 64165.28170192423, 28.7, 49.6)
(0.5764110088348389, 64134.62095329112, 27.9, 49.6)
(0.5635899305343628, 128438.01722488039, 28.7, 49.6)
(0.5761604309082031, 64211.32783159909, 27.2, 49.6)
(0.5765490531921387, 64180.623072325165, 29.2, 49.6)
(0.5645092725753784, 128162.07018381475, 28.8, 49.6)
(0.5545064210891724, 128253.92068800764, 28.6, 49.6)
(0.5684648752212524, 132169.10684391926, 28.8, 49.6)
(0.6287025213241577, 64211.32783159909, 44.1, 50.2)
(0.5695984363555908, 123988.66327944573, 27.6, 50.2)
(0.5600720643997192, 64126.96034400382, 29.3, 50.2)
(0.5614988803863525, 42437.03359418228, 28.3, 50.2)
(0.5785664319992065, 64165.28170192423, 29.5, 50.1)
(0.5774555206298828, 128376.59301769489, 28.2, 50.1)
(0.5647968053817749, 64180.623072325165, 29.9, 50.2)
(0.5616991519927979, 128468.75137592726, 28.1, 50.2)
(0.5698103904724121, 128284.56678614097, 28.7, 50.2)
(0.5659809112548828, 64172.95147023667, 28.8, 50.2)
(0.5669502019882202, 64165.28170192423, 28.9, 50.2)
(0.5651839971542358, 64126.96034400382, 29.7, 50.2)
(0.5641143321990967, 88783.0183562097, 28.4, 50.2)
(0.5685136318206787, 67949.74205796735, 28.1, 50.2)
(0.5563609600067139, 64180.623072325165, 28.6, 50.2)
(0.5689778327941895, 64172.95147023667, 29.4, 50.2)
(0.5764203071594238, 128345.90294047334, 28.3, 50.2)
(0.5742335319519043, 128253.92068800764, 28.8, 50.2)
(0.5710175037384033, 64180.623072325165, 27.6, 50.2)
(0.5645118951797485, 128315.2275334608, 28.4, 50.2)
(0.5595041513442993, 64195.97178046156, 29.6, 50.2)
(0.5751750469207764, 128530.26382571223, 28.7, 50.2)
(0.5786077976226807, 132234.2147783251, 27.2, 50.1)
(0.5563596487045288, 128253.92068800764, 30.7, 50.1)
(0.5670450925827026, 128315.2275334608, 29.5, 50.1)
(0.5672746896743774, 128345.90294047334, 29.1, 50.1)
(0.5648963451385498, 128376.59301769489, 29.4, 50.1)
(0.5521069765090942, 64165.28170192423, 28.6, 50.1)
(0.5774205923080444, 64219.00861244019, 28.1, 50.1)
(0.5785731077194214, 64172.95147023667, 28.1, 50.1)
(0.569894552230835, 64149.947663998086, 28.7, 50.1)
(0.5709658861160278, 64172.95147023667, 28.4, 50.1)
(0.5695419311523438, 64157.6137667304, 28.3, 50.1)
(0.570125937461853, 128468.75137592726, 28.9, 50.1)
(0.5734740495681763, 128530.26382571223, 28.8, 50.1)
(0.5733051300048828, 128407.29777565176, 28.6, 50.1)
(0.5795613527297974, 128253.92068800764, 28.7, 50.1)
(0.5752785205841064, 128438.01722488039, 28.6, 50.1)
(0.5620231628417969, 128345.90294047334, 29.3, 50.1)
(0.5700106620788574, 65288.93493858689, 29.3, 50.1)
(0.5782935619354248, 64157.6137667304, 27.7, 50.1)
(0.5639536380767822, 129335.31968200434, 29.2, 50.1)
(0.5731844902038574, 128345.90294047334, 29.1, 50.1)
(0.5671708583831787, 42764.92846901386, 28.2, 50.1)
(0.588189959526062, 128315.2275334608, 33.9, 50.3)
(0.5806218385696411, 128315.2275334608, 28.1, 50.3)
(0.5797433853149414, 64211.32783159909, 28.5, 50.3)
(0.5760776996612549, 64157.6137667304, 29.1, 50.2)
(0.5715702772140503, 128192.67239732569, 29.4, 50.2)
(0.5730522871017456, 128345.90294047334, 28.0, 50.1)
(0.5692191123962402, 64195.97178046156, 27.9, 50.1)
(0.5613210201263428, 128530.26382571223, 28.6, 50.1)
(0.5799297094345093, 64172.95147023667, 28.0, 50.1)
(0.5967017412185669, 64165.28170192423, 32.0, 49.8)
(0.5543137788772583, 64195.97178046156, 29.7, 49.7)
(0.5709389448165894, 128776.90381386424, 28.8, 49.7)
(0.5744328498840332, 128407.29777565176, 28.8, 49.7)
(0.5786412954330444, 128345.90294047334, 28.1, 49.7)
(0.5712981224060059, 128315.2275334608, 27.5, 49.7)
(0.5704292058944702, 128284.56678614097, 28.3, 49.7)
(0.5791139602661133, 128376.59301769489, 28.3, 49.8)
(0.5679811239242554, 128315.2275334608, 28.3, 49.7)
(0.5728819370269775, 64203.64888782588, 27.9, 49.7)
(0.5629943609237671, 128284.56678614097, 27.5, 49.7)
(0.5705963373184204, 128223.28922856461, 28.6, 49.8)
(0.5648359060287476, 64157.6137667304, 28.0, 49.8)
(0.5682274103164673, 128345.90294047334, 27.8, 49.8)
(0.5839378833770752, 128438.01722488039, 27.3, 49.8)
(0.5801495313644409, 64165.28170192423, 27.7, 49.8)
(0.5784538984298706, 128223.28922856461, 27.9, 49.8)
(0.5710912942886353, 128284.56678614097, 28.6, 49.8)
(0.5992259979248047, 128376.59301769489, 27.5, 49.7)
(0.5595030784606934, 128407.29777565176, 28.1, 49.7)
(0.5605010986328125, 64188.296508847445, 29.3, 49.7)
(0.5586493015289307, 128284.56678614097, 28.6, 49.7)
(0.5606849193572998, 128345.90294047334, 27.8, 49.7)
(0.5650246143341064, 64272.8255716509, 28.7, 49.7)
(0.575397253036499, 128376.59301769489, 27.1, 49.7)
(0.5568975210189819, 128284.56678614097, 28.8, 49.8)
(0.5574426651000977, 64172.95147023667, 29.4, 49.7)
(0.5774686336517334, 64165.28170192423, 30.3, 49.8)
(0.565986156463623, 64180.623072325165, 28.2, 49.7)
(0.5676121711730957, 128284.56678614097, 29.5, 49.8)
(0.5591671466827393, 128192.67239732569, 28.7, 49.7)
(0.5741972923278809, 127887.30633635064, 27.9, 49.8)
(0.5661503076553345, 128345.90294047334, 29.0, 49.8)
(0.5774855613708496, 64172.95147023667, 29.0, 49.8)
(0.5579674243927002, 128315.2275334608, 29.9, 49.7)
(0.5769444704055786, 128284.56678614097, 28.8, 49.7)
(0.5795221328735352, 64165.28170192423, 28.1, 49.8)
(0.5588130950927734, 128345.90294047334, 28.2, 49.7)
(0.5858124494552612, 128345.90294047334, 28.4, 49.7)
(0.5716109275817871, 64165.28170192423, 28.2, 49.7)
(0.5614705085754395, 128192.67239732569, 28.4, 49.7)
(0.5751739740371704, 128345.90294047334, 28.7, 49.7)
(0.5649880170822144, 128591.83520958084, 28.1, 49.7)
(0.5830782651901245, 128345.90294047334, 27.9, 49.8)
(0.574836015701294, 64172.95147023667, 27.5, 49.7)
(0.5614930391311646, 128345.90294047334, 28.6, 49.7)
(0.570300817489624, 64149.947663998086, 28.2, 49.7)
(0.5744479894638062, 64180.623072325165, 28.3, 49.7)
(0.5741090774536133, 64172.95147023667, 28.0, 49.7)
(0.5672417879104614, 128192.67239732569, 29.4, 49.7)
(0.5588890314102173, 64149.947663998086, 28.2, 49.7)
(0.5708421468734741, 64157.6137667304, 27.2, 49.7)
(0.5756772756576538, 65154.23689320388, 28.6, 49.7)
(0.5618880987167358, 63094.477846985545, 28.8, 49.7)
(0.5669460296630859, 64134.62095329112, 28.6, 49.7)
(0.5707690715789795, 65249.260087506074, 28.3, 49.7)
(0.563988208770752, 64134.62095329112, 27.5, 49.7)
(0.5553911924362183, 128315.2275334608, 28.6, 49.7)
(0.562785267829895, 128376.59301769489, 28.4, 49.7)
(0.5885324478149414, 64126.96034400382, 34.4, 49.1)
(0.579195499420166, 129616.34765813616, 29.6, 48.7)
(0.571556806564331, 132234.2147783251, 27.8, 48.8)
(0.5554594993591309, 64126.96034400382, 28.6, 48.8)
(0.581480860710144, 128468.75137592726, 27.7, 48.8)
(0.5705341100692749, 128315.2275334608, 28.5, 48.8)
(0.5745968818664551, 64142.28339307049, 27.9, 48.8)
(0.5636491775512695, 128315.2275334608, 29.2, 48.8)
(0.5747357606887817, 128530.26382571223, 28.0, 48.8)
(0.5640544891357422, 128315.2275334608, 27.5, 48.8)
(0.5657991170883179, 128468.75137592726, 29.2, 48.8)
(0.5624597072601318, 128746.02206235012, 28.5, 48.8)
(0.5655732154846191, 64142.28339307049, 28.3, 48.8)
(0.5578492879867554, 132495.28923988153, 27.5, 48.9)
(0.5800580978393555, 128776.90381386424, 27.7, 48.9)
(0.5737408399581909, 64172.95147023667, 29.1, 48.9)
(0.5763427019119263, 128162.07018381475, 27.8, 48.8)
(0.5997930765151978, 128438.01722488039, 40.0, 49.9)
(0.5988945960998535, 128345.90294047334, 37.3, 49.4)
(0.5810866355895996, 125378.54086875291, 35.8, 51.1)
(0.6044410467147827, 64149.947663998086, 35.1, 49.3)
(0.5990543365478516, 128284.56678614097, 35.8, 49.1)
(0.5667861700057983, 128407.29777565176, 36.4, 49.2)
(0.5838485956192017, 128315.2275334608, 36.0, 49.2)
(0.5870882272720337, 64157.6137667304, 29.8, 49.1)
(0.5897316932678223, 64165.28170192423, 27.8, 49.1)
